"","otu","order","family","genus","species","pident","volcano","site","sitePlot","plant","smplUnit","time.SmplUnit","abundance","Lat1","Long1","horizontalDatum","flowAgeMin","flowAgeMax","predict","spp","n_delim"
"17","OTU159","Araneae","Philodromidae","Pagiopalus","nigriventris",98.086,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,17,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_98",13
"18","OTU159","Araneae","Philodromidae","Pagiopalus","nigriventris",98.086,"Kilauea","flow1973","flow1973_084","Swordfern","flow1973_084_Swordfern",34,7,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_98",13
"19","OTU1663","Araneae","Tetragnathidae","Tetragnatha","obscura",97.368,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,10,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_43",8
"20","OTU1679","Araneae","Theridiidae","Theridion","melanostictum",100,"Kilauea","flow1973","flow1973_084","Swordfern","flow1973_084_Swordfern",34,9,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_16",1
"21","OTU1679","Araneae","Theridiidae","Theridion","melanostictum",100,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,16,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_16",1
"22","OTU174","Araneae","Tetragnathidae","Tetragnatha","quasimodo",99.761,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,121,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_65",9
"23","OTU174","Araneae","Tetragnathidae","Tetragnatha","quasimodo",99.761,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,5,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_65",9
"24","OTU1821","Araneae","Tetragnathidae","Tetragnatha","acuta",98.804,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,58,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_10",11
"25","OTU1929","Araneae","Tetragnathidae","Tetragnatha","acuta",97.608,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,68,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_10",11
"26","OTU1946","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.043,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,86,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"27","OTU210","Araneae","Tetragnathidae","Tetragnatha","obscura",100,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,261,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_43",8
"28","OTU2123","Araneae","Tetragnathidae","Tetragnatha","obscura",98.086,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,6,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_43",8
"29","OTU248","Araneae","Tetragnathidae","Tetragnatha","quasimodo",99.522,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,38,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_65",9
"30","OTU2601","Araneae","Philodromidae","Pagiopalus","nigriventris",98.086,"Kilauea","flow1973","flow1973_084","Metrosideros","flow1973_084_Metrosideros",95,13,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_98",13
"31","OTU2601","Araneae","Philodromidae","Pagiopalus","nigriventris",98.086,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,6,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_98",13
"32","OTU2601","Araneae","Philodromidae","Pagiopalus","nigriventris",98.086,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,6,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_98",13
"33","OTU27","Araneae","Tetragnathidae","Tetragnatha","pilosa",100,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,7,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_29",4
"34","OTU29","Trombidiformes","Anystidae",NA,NA,99.522,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,129,19.372432,-155.214834,"NAD83",42,42,"introduced","Trombidiformes_18",3
"35","OTU29","Trombidiformes","Anystidae",NA,NA,99.522,"Kilauea","flow1973","flow1973_084","Swordfern","flow1973_084_Swordfern",34,24,19.371823,-155.212151,"NAD83",42,42,"introduced","Trombidiformes_18",3
"36","OTU29","Trombidiformes","Anystidae",NA,NA,99.522,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,12,19.371823,-155.212151,"NAD83",42,42,"introduced","Trombidiformes_18",3
"37","OTU29","Trombidiformes","Anystidae",NA,NA,99.522,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,81,19.370042,-155.21522,"NAD83",42,42,"introduced","Trombidiformes_18",3
"38","OTU29","Trombidiformes","Anystidae",NA,NA,99.522,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,182,19.370042,-155.21522,"NAD83",42,42,"introduced","Trombidiformes_18",3
"39","OTU29","Trombidiformes","Anystidae",NA,NA,99.522,"Kilauea","flow1973","flow1973_109","Swordfern","flow1973_109_Swordfern",17,10,19.370042,-155.21522,"NAD83",42,42,"introduced","Trombidiformes_18",3
"40","OTU2905","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,5,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_95",10
"41","OTU299","Araneae","Linyphiidae","Tenuiphantes","tenuis",100,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,8,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_2",2
"42","OTU3375","Araneae","Tetragnathidae","Tetragnatha","kukuhaa",91.647,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,18,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_42",1
"43","OTU353","Araneae","Theridiidae","Cryptachaea","blattea",99.522,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,27,19.372432,-155.214834,"NAD83",42,42,"introduced","Araneae_36",4
"44","OTU353","Araneae","Theridiidae","Cryptachaea","blattea",99.522,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,14,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_36",4
"45","OTU353","Araneae","Theridiidae","Cryptachaea","blattea",99.522,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,99,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_36",4
"46","OTU3592","Araneae","Salticidae","Messua","limbata",90.431,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,29,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_7",1
"47","OTU362","Araneae","Philodromidae","Pagiopalus","nigriventris",94.258,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,9,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_102",1
"48","OTU392","Araneae","Philodromidae","Pagiopalus","nigriventris",97.608,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,6,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_98",13
"49","OTU392","Araneae","Philodromidae","Pagiopalus","nigriventris",97.608,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,7,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_98",13
"50","OTU468","Araneae","Salticidae","Havaika",NA,100,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,8,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_61",12
"51","OTU49","Araneae","Philodromidae","Pagiopalus","nigriventris",97.847,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,8,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_98",13
"52","OTU49","Araneae","Philodromidae","Pagiopalus","nigriventris",97.847,"Kilauea","flow1973","flow1973_084","Dubautia","flow1973_084_Dubautia",12,10,19.371823,-155.212151,"NAD83",42,42,"endemic","Araneae_98",13
"53","OTU501","Araneae","Tetragnathidae","Tetragnatha","GoldenDome",98.086,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,14,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_135",28
"54","OTU501","Araneae","Tetragnathidae","Tetragnatha","GoldenDome",98.086,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,47,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_135",28
"55","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,538,19.372432,-155.214834,"NAD83",42,42,"introduced","Araneae_17",3
"56","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_084","Metrosideros","flow1973_084_Metrosideros",95,7,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"57","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_084","Swordfern","flow1973_084_Swordfern",34,87,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"58","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,563,19.371823,-155.212151,"NAD83",42,42,"introduced","Araneae_17",3
"59","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_109","Coprosma","flow1973_109_Coprosma",10,62,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"60","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_109","Dubautia","flow1973_109_Dubautia",10,131,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"61","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,178,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"62","OTU52","Araneae","Cheiracanthiidae","Cheiracanthium",NA,100,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,129,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_17",3
"63","OTU545","Araneae","Tetragnathidae","Tetragnatha","GoldenDome",99.043,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,16,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_135",28
"64","OTU558","Araneae","Theridiidae","Cryptachaea","veruculata",99.761,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,14,19.370042,-155.21522,"NAD83",42,42,"introduced","Araneae_36",4
"65","OTU64","Araneae","Tetragnathidae","Tetragnatha","kauaiensis",100,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,14,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_28",8
"66","OTU682","Araneae","Thomisidae","Mecaphesa","facunda",99.761,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,15,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_95",10
"67","OTU71","Araneae","Tetragnathidae","Tetragnatha","quasimodo",99.522,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,74,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_65",9
"68","OTU806","Araneae","Philodromidae","Pagiopalus","nigriventris",98.325,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,22,19.370042,-155.21522,"NAD83",42,42,"endemic","Araneae_98",13
"69","OTU822","Araneae","Tetragnathidae","Tetragnatha","quasimodo",95.933,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,5,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_66",1
"70","OTU94","Trombidiformes","Anystidae",NA,NA,100,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,78,19.372432,-155.214834,"NAD83",42,42,"introduced","Trombidiformes_18",3
"71","OTU94","Trombidiformes","Anystidae",NA,NA,100,"Kilauea","flow1973","flow1973_084","Swordfern","flow1973_084_Swordfern",34,8,19.371823,-155.212151,"NAD83",42,42,"introduced","Trombidiformes_18",3
"72","OTU94","Trombidiformes","Anystidae",NA,NA,100,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,64,19.371823,-155.212151,"NAD83",42,42,"introduced","Trombidiformes_18",3
"73","OTU94","Trombidiformes","Anystidae",NA,NA,100,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,30,19.370042,-155.21522,"NAD83",42,42,"introduced","Trombidiformes_18",3
"74","OTU94","Trombidiformes","Anystidae",NA,NA,100,"Kilauea","flow1973","flow1973_109","Styphelia","flow1973_109_Styphelia",48,45,19.370042,-155.21522,"NAD83",42,42,"introduced","Trombidiformes_18",3
"75","OTU963","Araneae","Linyphiidae","Erigone","psychrophila",91.525,"Kilauea","flow1973","flow1973_079","Metrosideros","flow1973_079_Metrosideros",320,44,19.372432,-155.214834,"NAD83",42,42,"endemic","Araneae_123",12
"76","OTU98","Trombidiformes","Bdellidae",NA,NA,86.364,"Kilauea","flow1973","flow1973_084","Metrosideros","flow1973_084_Metrosideros",95,9,19.371823,-155.212151,"NAD83",42,42,"introduced","Trombidiformes_36",4
"77","OTU98","Trombidiformes","Bdellidae",NA,NA,86.364,"Kilauea","flow1973","flow1973_084","Vaccinium","flow1973_084_Vaccinium",112,18,19.371823,-155.212151,"NAD83",42,42,"introduced","Trombidiformes_36",4
"78","OTU98","Trombidiformes","Bdellidae",NA,NA,86.364,"Kilauea","flow1973","flow1973_109","Metrosideros","flow1973_109_Metrosideros",335,16,19.370042,-155.21522,"NAD83",42,42,"introduced","Trombidiformes_36",4
"79","OTU1080","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,181,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_95",10
"80","OTU1080","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","treePlanting","treePlanting_04","Metrosideros","treePlanting_04_Metrosideros",146,57,19.664081,-155.276941,"NAD83",133,133,"endemic","Araneae_95",10
"81","OTU1080","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","treePlanting","treePlanting_05","Styphelia","treePlanting_05_Styphelia",90,6,19.661988,-155.277445,"NAD83",133,133,"endemic","Araneae_95",10
"82","OTU1080","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","treePlanting","treePlanting_06","Metrosideros","treePlanting_06_Metrosideros",171,32,19.66275,-155.275787,"NAD83",133,133,"endemic","Araneae_95",10
"83","OTU1083","Araneae","Theridiidae","Theridion","grallator",97.602,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,13,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_140",4
"84","OTU1105","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","treePlanting","treePlanting_05","Styphelia","treePlanting_05_Styphelia",90,49,19.661988,-155.277445,"NAD83",133,133,"endemic","Araneae_95",10
"85","OTU1105","Araneae","Thomisidae","Mecaphesa","facunda",99.522,"Kilauea","treePlanting","treePlanting_05","Vaccinium","treePlanting_05_Vaccinium",40,26,19.661988,-155.277445,"NAD83",133,133,"endemic","Araneae_95",10
"86","OTU1147","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,44,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_43",8
"87","OTU1147","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","treePlanting","treePlanting_05","Metrosideros","treePlanting_05_Metrosideros",145,49,19.661988,-155.277445,"NAD83",133,133,"endemic","Araneae_43",8
"88","OTU1153","Araneae","Thomisidae","Mecaphesa","anguliventris",99.522,"Kilauea","treePlanting","treePlanting_05","Groundfern","treePlanting_05_Groundfern",45,36,19.661988,-155.277445,"NAD83",133,133,"endemic","Araneae_141",3
"89","OTU1181","Araneae","Linyphiidae","Erigone","psychrophila",91.768,"Kilauea","treePlanting","treePlanting_01","Metrosideros","treePlanting_01_Metrosideros",226,10,19.664377,-155.279919,"NAD83",133,133,"endemic","Araneae_123",12
"90","OTU1181","Araneae","Linyphiidae","Erigone","psychrophila",91.768,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,25,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_123",12
"91","OTU1181","Araneae","Linyphiidae","Erigone","psychrophila",91.768,"Kilauea","treePlanting","treePlanting_06","Metrosideros","treePlanting_06_Metrosideros",171,13,19.66275,-155.275787,"NAD83",133,133,"endemic","Araneae_123",12
"92","OTU1187","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,24,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_43",8
"93","OTU1187","Araneae","Tetragnathidae","Tetragnatha","obscura",99.761,"Kilauea","treePlanting","treePlanting_06","Metrosideros","treePlanting_06_Metrosideros",171,5,19.66275,-155.275787,"NAD83",133,133,"endemic","Araneae_43",8
"94","OTU1280","Araneae","Theridiidae","Parasteatoda","tepidariorum",100,"Kilauea","treePlanting","treePlanting_02","Groundfern","treePlanting_02_Groundfern",228,53,19.664982,-155.277783,"NAD83",133,133,"introduced","Araneae_15",2
"95","OTU1280","Araneae","Theridiidae","Parasteatoda","tepidariorum",100,"Kilauea","treePlanting","treePlanting_04","Metrosideros","treePlanting_04_Metrosideros",146,5,19.664081,-155.276941,"NAD83",133,133,"introduced","Araneae_15",2
"96","OTU1280","Araneae","Theridiidae","Parasteatoda","tepidariorum",100,"Kilauea","treePlanting","treePlanting_05","Metrosideros","treePlanting_05_Metrosideros",145,5,19.661988,-155.277445,"NAD83",133,133,"introduced","Araneae_15",2
"97","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_01","Dicranopteris","treePlanting_01_Dicranopteris",40,9,19.664377,-155.279919,"NAD83",133,133,"introduced","Araneae_17",3
"98","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_01","Groundfern","treePlanting_01_Groundfern",114,87,19.664377,-155.279919,"NAD83",133,133,"introduced","Araneae_17",3
"99","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_02","Groundfern","treePlanting_02_Groundfern",228,265,19.664982,-155.277783,"NAD83",133,133,"introduced","Araneae_17",3
"100","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,160,19.664982,-155.277783,"NAD83",133,133,"introduced","Araneae_17",3
"101","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_02","Styphelia","treePlanting_02_Styphelia",11,42,19.664982,-155.277783,"NAD83",133,133,"introduced","Araneae_17",3
"102","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_03","Metrosideros","treePlanting_03_Metrosideros",240,31,19.663327,-155.278665,"NAD83",133,133,"introduced","Araneae_17",3
"103","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_04","Groundfern","treePlanting_04_Groundfern",55,88,19.664081,-155.276941,"NAD83",133,133,"introduced","Araneae_17",3
"104","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_04","Metrosideros","treePlanting_04_Metrosideros",146,180,19.664081,-155.276941,"NAD83",133,133,"introduced","Araneae_17",3
"105","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_04","Styphelia","treePlanting_04_Styphelia",23,17,19.664081,-155.276941,"NAD83",133,133,"introduced","Araneae_17",3
"106","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_05","Groundfern","treePlanting_05_Groundfern",45,74,19.661988,-155.277445,"NAD83",133,133,"introduced","Araneae_17",3
"107","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_05","Metrosideros","treePlanting_05_Metrosideros",145,17,19.661988,-155.277445,"NAD83",133,133,"introduced","Araneae_17",3
"108","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_05","Styphelia","treePlanting_05_Styphelia",90,54,19.661988,-155.277445,"NAD83",133,133,"introduced","Araneae_17",3
"109","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_06","Dicranopteris","treePlanting_06_Dicranopteris",52,26,19.66275,-155.275787,"NAD83",133,133,"introduced","Araneae_17",3
"110","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_06","Groundfern","treePlanting_06_Groundfern",158,82,19.66275,-155.275787,"NAD83",133,133,"introduced","Araneae_17",3
"111","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_06","Styphelia","treePlanting_06_Styphelia",23,7,19.66275,-155.275787,"NAD83",133,133,"introduced","Araneae_17",3
"112","OTU129","Araneae","Cheiracanthiidae","Cheiracanthium",NA,99.761,"Kilauea","treePlanting","treePlanting_06","Vaccinium","treePlanting_06_Vaccinium",16,47,19.66275,-155.275787,"NAD83",133,133,"introduced","Araneae_17",3
"113","OTU1375","Araneae","Tetragnathidae","Tetragnatha","acuta",100,"Kilauea","treePlanting","treePlanting_02","Metrosideros","treePlanting_02_Metrosideros",180,82,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_10",11
"114","OTU1375","Araneae","Tetragnathidae","Tetragnatha","acuta",100,"Kilauea","treePlanting","treePlanting_04","Groundfern","treePlanting_04_Groundfern",55,52,19.664081,-155.276941,"NAD83",133,133,"endemic","Araneae_10",11
"115","OTU1375","Araneae","Tetragnathidae","Tetragnatha","acuta",100,"Kilauea","treePlanting","treePlanting_04","Metrosideros","treePlanting_04_Metrosideros",146,43,19.664081,-155.276941,"NAD83",133,133,"endemic","Araneae_10",11
"116","OTU1375","Araneae","Tetragnathidae","Tetragnatha","acuta",100,"Kilauea","treePlanting","treePlanting_05","Styphelia","treePlanting_05_Styphelia",90,25,19.661988,-155.277445,"NAD83",133,133,"endemic","Araneae_10",11
"117","OTU1376","Araneae","Tetragnathidae","Tetragnatha","perkinsi",94.258,"Kilauea","treePlanting","treePlanting_02","Styphelia","treePlanting_02_Styphelia",11,10,19.664982,-155.277783,"NAD83",133,133,"endemic","Araneae_11",2
